"Continent","IE","Chrome","Firefox","Safari","Opera","360 Safe Browser","Maxthon","360","QQ Browser","Android","SeaMonkey","Flock","Comodo Dragon","Sony PS3","Iron","Kindle"
United States,40.02,23.63,20.94,13.13,0,0,0,0,0,0,0,0,0,0,0,0
Turkey ,37.95,47.82,12.04,1.05,0,0,0,0,0,0,0,0,0,0,0,0
Brazil ,25.78,49.71,21.89,1.61,0,0,0,0,0,0,0,0,0,0,0,0
India ,17.74,42.33,33.93,1.35,2.94,0,0,0,0,0,0,0,0,0,0,0
United Kingdom ,36.65,29.19,19.42,12.7,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,23.72,16.26,48.97,6.12,3.4,0,0,0,0,0,0,0,0,0,0,0
Canada ,36.31,25.69,23.54,12.27,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia ,2.88,25.36,66.34,2.11,2.04,0,0,0,0,0,0,0,0,0,0,0
Thailand ,37.72,39.79,16.75,4.15,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,25.28,52.65,19.63,1.31,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,38.17,39.99,15.75,4.62,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,30.82,36.39,24.9,6.27,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,30.35,37.03,23.62,7.16,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,7.7,58.7,28.13,3.66,0,0,0,0,0,0,0,0,0,0,0,0
China ,58.06,10.07,4.62,2.33,0,17.34,3.02,1.33,1.24,0,0,0,0,0,0,0
Netherlands ,44.86,24.55,17.19,11.32,0,0,0,0,0,0,0,0,0,0,0,0
France ,29.09,27.64,32.3,8.95,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,38.29,23.8,20.4,15.23,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia ,18.35,45.08,29.09,4.51,0,0,0,0,0,1.69,0,0,0,0,0,0
Serbia ,12.48,39.96,38.61,1.54,6.78,0,0,0,0,0,0,0,0,0,0,0
Colombia ,22.97,59.88,14.03,2.3,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam ,16.15,46.29,32.05,4.37,0,0,0,0,0,0,0,0,0,0,0,0
Chile ,19.93,59.81,16.65,2.17,0,0,0,0,0,0,0,0,0,0,0,0
South Korea ,76.32,15.13,4.3,3.1,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,52.61,18.15,18.78,7,1.57,0,0,0,0,0,0,0,0,0,0,0
Egypt ,18.2,29.64,46.84,0,3.59,0,0,0,0,0,0,0,0,0,0,0
Taiwan ,58.7,24.74,11.12,3.61,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,14.34,26.94,47.75,1.58,8.66,0,0,0,0,0,0,0,0,0,0,0
Hungary ,12.28,37.85,43.48,1.43,4.24,0,0,0,0,0,0,0,0,0,0,0
Greece ,22.06,34.49,37.64,3.65,1.53,0,0,0,0,0,0,0,0,0,0,0
Romania ,20.67,34.46,36.21,1.48,6.63,0,0,0,0,0,0,0,0,0,0,0
Pakistan ,14.01,46.5,32.42,1.09,5.38,0,0,0,0,0,0,0,0,0,0,0
Russian Federation ,21.42,31.07,23.76,2.83,19.91,0,0,0,0,0,0,0,0,0,0,0
Israel ,45.56,37.72,12.91,2.47,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,34.01,29.43,24.02,10.59,1.16,0,0,0,0,0,0,0,0,0,0,0
Peru ,42.64,39.67,15.66,1.12,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,39.44,25.77,22.48,10.21,1.02,0,0,0,0,0,0,0,0,0,0,0
Venezuela ,24.58,46.2,26.84,1.51,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia ,36.87,35.93,19.17,4.91,1.43,0,0,0,0,1.03,0,0,0,0,0,0
Singapore ,31.89,28.73,22.18,14.89,0,0,0,0,0,0,0,0,0,0,0,0
Portugal ,35.99,36.72,20.97,4.55,1.03,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,21.93,31.11,40.46,0,4.86,0,0,0,0,0,0,0,0,0,0,0
Finland ,22.32,25.43,40.45,8.17,2.69,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,35.51,16.96,28.77,16.59,1.36,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates ,39.06,35.84,15.66,7.4,1.04,0,0,0,0,0,0,0,0,0,0,0
Denmark ,41.24,26.8,16.4,14.05,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong ,44.8,24.57,17.48,10.68,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,5.09,19.82,60.45,0,4.93,0,0,0,0,0,2.37,2.03,1.37,0,0,0
Ireland ,30.54,37.11,20.62,9.26,1.16,0,0,0,0,0,0,0,0,0,0,0
Austria ,30,19.34,39.15,8.13,2.43,0,0,0,0,0,0,0,0,0,0,0
Norway ,32.23,28.59,20.34,13.71,4.13,0,0,0,0,0,0,0,0,0,0,0
South Africa ,48.89,20.8,20.37,7.26,1.08,0,0,0,0,1.18,0,0,0,0,0,0
Croatia ,19.04,31.76,42.51,2.48,3.62,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,25.33,30.34,33.62,2.5,7.25,0,0,0,0,0,0,0,0,0,0,0
Morocco ,16.55,41.35,37.54,1.62,2.4,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,20.62,44.24,32.94,1.22,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,41.11,13.24,40.67,1.17,3.19,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,32.4,30.69,21.64,12.91,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina ,8.99,44.66,40.77,1.03,4.12,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,22.11,38.44,35.64,2.76,0,0,0,0,0,0,0,0,0,0,0,0
